English english1.txt
Unknown english2.txt
English english3.txt
English english4.txt
English english5.txt
Unknown french1.txt
French french2.txt
French french3.txt
French french4.txt 
French french5.txt
French french6.txt
Unknown german1.txt
German german2.txt
German german3.txt
German german4.txt
Unknown hr1.txt
Hr hr2.txt
Hr hr3.txt
Hr hr4.txt
Hr hr5.txt
Hr hr6.txt
Unknown nl1.txt
Nl nl2.txt
Nl nl3.txt
Nl nl4.txt
Nl nl5.txt
Unknown ro1.txt
Ro ro2.txt
Ro ro3.txt
Ro ro4.txt
Ro ro5.txt
Unknown spanish1.txt
Spanish spanish2.txt
Spanish spanish3.txt
Spanish spanish4.txt
Spanish spanish5.txt
Spanish spanish6.txt
END
